GalaxyID,class
107019,sphere
107064,sphere
107084,espiral
107106,sphere
107143,elliptical
107159,espiral
107193,sphere
107202,espiral
107229,espiral
107261,elliptical
107268,elliptical
107272,sphere
107290,sphere
107298,sphere
107355,elliptical
107379,espiral
107383,elliptical
107388,elliptical
107394,elliptical
107403,elliptical
107415,irregular
107434,sphere
107435,sphere
107461,sphere
107480,sphere
107496,elliptical
107510,sphere
107517,espiral
107524,espiral
107539,sphere
107553,elliptical
107555,espiral
107559,elliptical
107562,sphere
107573,sphere
107576,elliptical
107593,elliptical
107606,espiral
107608,elliptical
107610,sphere
107619,sphere
107627,irregular
107629,elliptical
107660,elliptical
107688,sphere
107692,sphere
107709,espiral
107736,elliptical
107745,espiral
107747,espiral
107823,sphere
107828,sphere
107849,sphere
107859,elliptical
107888,sphere
107943,elliptical
107954,sphere
107961,elliptical
107966,sphere
107967,sphere
107972,sphere
107975,sphere
107985,sphere
107987,elliptical
108012,espiral
108017,elliptical
108038,espiral
108041,elliptical
108051,sphere
108066,sphere
108103,irregular
108105,elliptical
108111,sphere
108146,sphere
108182,sphere
108195,sphere
108251,espiral
108272,espiral
108305,elliptical
108326,elliptical
108481,sphere
108497,elliptical
108507,elliptical
108545,sphere
108551,elliptical
108574,espiral
108601,sphere
108608,espiral
108661,elliptical
108692,irregular
108715,irregular
108717,sphere
108742,espiral
108757,elliptical
108764,irregular
108772,espiral
108786,elliptical
108914,sphere
108917,sphere
108929,espiral
108959,elliptical
108961,espiral
108979,elliptical
108988,elliptical
108991,elliptical
108994,elliptical
109011,espiral
109033,elliptical
109083,sphere
109096,elliptical
109098,sphere
109127,elliptical
109132,espiral
109155,elliptical
109180,elliptical
109215,elliptical
109255,sphere
109266,espiral
109282,sphere
109330,elliptical
109360,sphere
109361,sphere
109366,espiral
109380,espiral
109414,sphere
109422,elliptical
109509,elliptical
109529,elliptical
109568,espiral
109595,sphere
109623,elliptical
109630,elliptical
109688,espiral
109727,elliptical
109740,sphere
109744,espiral
109772,sphere
109780,elliptical
109827,sphere
109868,espiral
109879,sphere
109885,elliptical
109888,sphere
109946,espiral
109977,sphere
110063,sphere
110074,elliptical
110076,sphere
110109,espiral
110121,sphere
110129,elliptical
110139,sphere
110149,sphere
110178,sphere
110195,sphere
110217,irregular
110285,espiral
110313,sphere
110339,espiral
110364,sphere
110370,irregular
110375,espiral
110384,espiral
110388,elliptical
110389,sphere
110404,espiral
110465,irregular
110480,elliptical
110528,sphere
110538,elliptical
110566,sphere
110596,sphere
110633,espiral
110695,sphere
110707,sphere
110710,elliptical
110713,espiral
110719,sphere
110763,irregular
110789,irregular
110805,sphere
110821,sphere
110844,espiral
110858,sphere
110887,espiral
110923,elliptical
110964,elliptical
110966,espiral
111022,sphere
111125,elliptical
111141,espiral
111142,sphere
111175,sphere
111207,sphere
111223,elliptical
111240,sphere
111259,elliptical
111274,sphere
111286,elliptical
111298,sphere
111305,espiral
111312,sphere
111383,elliptical
111399,sphere
111411,sphere
111417,elliptical
111428,sphere
111481,sphere
111491,irregular
111514,espiral
111552,sphere
111553,sphere
111597,sphere
111615,espiral
111622,elliptical
111658,espiral
111667,elliptical
111681,elliptical
111727,irregular
111753,sphere
111770,elliptical
111775,elliptical
111792,espiral
111793,elliptical
111799,espiral
111804,sphere
111839,sphere
111882,espiral
111883,irregular
111910,sphere
111937,sphere
111979,elliptical
111980,elliptical
112016,elliptical
112034,elliptical
112072,espiral
112125,espiral
112135,sphere
112148,sphere
112167,elliptical
112177,espiral
112196,espiral
112229,elliptical
112259,sphere
112282,elliptical
112311,sphere
112314,elliptical
112359,sphere
112404,espiral
112420,irregular
112444,espiral
112479,espiral
112512,sphere
112518,sphere
112536,sphere
112574,elliptical
112623,espiral
112628,sphere
112665,elliptical
112678,sphere
112764,sphere
112769,espiral
112814,sphere
112835,elliptical
112841,sphere
112843,elliptical
112846,sphere
112918,elliptical
112964,sphere
112965,sphere
112988,sphere
112997,elliptical
113118,sphere
113142,elliptical
113149,elliptical
113166,irregular
113196,sphere
113267,elliptical
113279,sphere
113284,espiral
113289,espiral
113303,espiral
113305,elliptical
113322,irregular
113373,elliptical
113394,sphere
113402,elliptical
113417,irregular
113418,sphere
113420,sphere
113436,elliptical
113444,sphere
113452,elliptical
113457,sphere
113475,sphere
113509,sphere
113510,elliptical
113518,elliptical
113553,elliptical
113567,sphere
113608,irregular
113609,elliptical
113617,elliptical
113655,espiral
113692,elliptical
113746,sphere
113779,irregular
113823,sphere
113828,elliptical
113845,elliptical
113857,sphere
113858,elliptical
113913,elliptical
113940,sphere
113951,elliptical
113965,sphere
113971,espiral
113987,espiral
113992,sphere
113999,elliptical
114000,elliptical
114026,sphere
114029,elliptical
114059,elliptical
114080,espiral
114117,sphere
114190,sphere
114191,elliptical
114240,irregular
114256,espiral
114271,sphere
114289,sphere
114319,elliptical
114337,elliptical
114354,irregular
114433,irregular
114457,sphere
114462,elliptical
114502,espiral
114517,espiral
114550,espiral
114587,espiral
114588,elliptical
114600,elliptical
114602,elliptical
114620,elliptical
114650,elliptical
114658,elliptical
114682,sphere
114688,espiral
114696,sphere
114741,espiral
114772,espiral
114815,espiral
114863,irregular
114893,elliptical
114896,sphere
114957,espiral
114965,espiral
114966,espiral
114993,sphere
115031,elliptical
115033,sphere
115073,sphere
115091,elliptical
115094,sphere
115126,sphere
115132,sphere
115143,espiral
115163,elliptical
115191,elliptical
115247,irregular
115255,elliptical
115275,sphere
115299,elliptical
115314,espiral
115330,sphere
115339,elliptical
115357,sphere
115368,elliptical
115385,elliptical
115390,sphere
115399,sphere
115402,irregular
115426,sphere
115450,elliptical
115490,sphere
115506,sphere
115515,espiral
115526,sphere
115545,elliptical
115560,elliptical
115571,espiral
115587,espiral
115597,elliptical
115617,irregular
115659,espiral
115675,espiral
115716,elliptical
115718,elliptical
115736,elliptical
115777,espiral
115787,sphere
115815,elliptical
115818,elliptical
115824,espiral
115854,sphere
115858,irregular
115869,elliptical
115883,elliptical
115886,sphere
115891,sphere
115905,espiral
115918,sphere
115938,sphere
115942,sphere
115953,sphere
116043,espiral
116044,sphere
116045,sphere
116061,sphere
116118,espiral
116208,sphere
116210,sphere
116214,elliptical
116249,sphere
116265,sphere
116306,espiral
116328,espiral
116386,sphere
116417,elliptical
116422,espiral
116435,sphere
116524,elliptical
116542,sphere
116551,sphere
116557,elliptical
116565,sphere
116582,sphere
116614,elliptical
116638,espiral
116669,sphere
116723,elliptical
116724,elliptical
116751,elliptical
116779,elliptical
116780,sphere
116794,espiral
116815,espiral
116817,elliptical
116844,sphere
116873,elliptical
116879,sphere
116886,elliptical
116896,espiral
116914,elliptical
116927,sphere
116958,elliptical
116998,espiral
117017,sphere
117045,sphere
117085,elliptical
117090,sphere
117100,espiral
117104,sphere
117135,sphere
117158,espiral
117164,irregular
117192,sphere
117205,elliptical
117206,espiral
117217,sphere
117228,sphere
117240,sphere
117265,elliptical
117267,elliptical
117300,espiral
117424,sphere
117440,espiral
117494,espiral
117503,espiral
117510,sphere
117528,elliptical
117576,sphere
117587,sphere
117597,elliptical
117605,sphere
117621,elliptical
117623,sphere
117627,sphere
117641,espiral
117674,espiral
117722,sphere
117764,sphere
117767,elliptical
117775,irregular
117805,sphere
117813,sphere
117833,sphere
117858,elliptical
117908,sphere
117915,irregular
117921,sphere
118013,elliptical
118015,elliptical
118044,sphere
118063,sphere
118074,sphere
118119,sphere
118150,elliptical
118161,elliptical
118163,elliptical
118188,elliptical
118199,espiral
118260,sphere
118323,espiral
118337,elliptical
118409,sphere
118452,elliptical
118539,espiral
118590,sphere
118638,espiral
118685,sphere
118702,irregular
118712,espiral
118714,elliptical
118723,espiral
118767,elliptical
118893,elliptical
118935,elliptical
118941,elliptical
118947,elliptical
118971,sphere
118993,elliptical
119009,elliptical
119010,sphere
119014,sphere
119037,elliptical
119045,espiral
119061,sphere
119147,irregular
119150,espiral
119229,elliptical
119239,sphere
119249,elliptical
119262,elliptical
119277,espiral
119280,elliptical
119314,elliptical
119334,elliptical
119358,elliptical
119366,sphere
119373,elliptical
119417,elliptical
119459,sphere
119498,elliptical
119501,sphere
119536,sphere
119537,elliptical
119573,espiral
119579,sphere
119599,espiral
119644,irregular
119666,sphere
119670,sphere
119675,elliptical
119691,sphere
119693,elliptical
119699,elliptical
119718,espiral
119719,sphere
119740,elliptical
119773,espiral
119774,sphere
119777,espiral
119798,sphere
119816,espiral
119831,elliptical
119864,irregular
119876,sphere
119889,sphere
119909,elliptical
119910,elliptical
119921,sphere
119941,sphere
119990,sphere
120006,sphere
120027,elliptical
120036,elliptical
120042,espiral
120051,sphere
120062,sphere
120084,elliptical
120112,elliptical
120127,elliptical
120158,irregular
120197,espiral
120201,sphere
120214,sphere
120223,sphere
120228,espiral
120231,elliptical
120250,sphere
120258,sphere
120305,elliptical
120307,espiral
120316,sphere
120337,espiral
120354,sphere
120374,sphere
120383,espiral
120384,espiral
120387,elliptical
120433,espiral
120438,sphere
120447,irregular
120548,espiral
120629,elliptical
120632,espiral
120641,sphere
120659,elliptical
120676,irregular
120697,sphere
120716,espiral
120763,sphere
120774,elliptical
120776,sphere
120782,elliptical
120847,elliptical
120918,elliptical
120923,elliptical
120941,sphere
120998,espiral
121006,espiral
121008,elliptical
121044,sphere
121048,espiral
121059,elliptical
121067,sphere
121068,elliptical
121085,espiral
121088,sphere
121128,elliptical
121129,elliptical
121164,espiral
121177,elliptical
121178,elliptical
121184,elliptical
121190,sphere
121196,elliptical
121250,sphere
121267,elliptical
121276,elliptical
121319,sphere
121394,espiral
121410,sphere
121462,irregular
121473,elliptical
121538,sphere
121552,sphere
121558,espiral
121567,elliptical
121577,elliptical
121592,sphere
121621,espiral
121625,sphere
121637,elliptical
121645,elliptical
121670,elliptical
121694,sphere
121705,sphere
121713,sphere
121727,sphere
121746,elliptical
121768,espiral
121769,sphere
121774,sphere
121801,sphere
121811,sphere
121831,elliptical
121835,sphere
121875,elliptical
121902,espiral
121960,sphere
121973,espiral
122003,elliptical
122020,elliptical
122042,espiral
122068,sphere
122093,espiral
122131,elliptical
122158,elliptical
122176,sphere
122221,sphere
122226,espiral
122240,espiral
122245,elliptical
122265,sphere
122278,sphere
122292,sphere
122293,espiral
122294,sphere
122298,sphere
122307,sphere
122362,elliptical
122444,elliptical
122445,espiral
122469,elliptical
122477,espiral
122479,sphere
122525,elliptical
122527,sphere
122601,elliptical
122608,elliptical
122654,espiral
122672,sphere
122674,sphere
122694,elliptical
122705,elliptical
122715,irregular
122717,sphere
122753,elliptical
122754,elliptical
122804,espiral
122818,espiral
122855,irregular
122907,elliptical
122909,sphere
122933,elliptical
122946,elliptical
122995,espiral
123024,espiral
123067,sphere
123093,espiral
123103,sphere
123133,espiral
123139,sphere
123141,sphere
123173,sphere
123192,sphere
123203,elliptical
123204,sphere
123205,elliptical
123207,espiral
123243,sphere
123282,sphere
123294,sphere
123308,irregular
123344,sphere
123349,espiral
123382,elliptical
123387,sphere
123412,elliptical
123416,elliptical
123420,elliptical
123433,sphere
123440,sphere
123470,espiral
123486,espiral
123517,sphere
123540,espiral
123564,elliptical
123648,sphere
123679,sphere
123692,elliptical
123694,espiral
123695,sphere
123700,irregular
123713,elliptical
123750,sphere
123770,sphere
123772,elliptical
123810,sphere
123811,elliptical
123871,espiral
123878,elliptical
123897,sphere
123906,irregular
123933,elliptical
123938,espiral
123980,sphere
124019,sphere
124050,espiral
124057,sphere
124059,espiral
124070,elliptical
124076,elliptical
124175,espiral
124200,espiral
124206,elliptical
124208,elliptical
124210,sphere
124214,espiral
124265,espiral
124273,sphere
124305,elliptical
124315,sphere
124342,espiral
124375,sphere
124424,elliptical
124434,elliptical
124443,espiral
124455,sphere
124483,sphere
124491,sphere
124499,elliptical
124548,espiral
124578,sphere
124648,sphere
124679,espiral
124733,sphere
124770,elliptical
124782,elliptical
124816,sphere
124854,elliptical
124862,sphere
124877,elliptical
124882,espiral
124908,sphere
124943,sphere
124991,elliptical
124994,sphere
125011,elliptical
125040,irregular
125063,elliptical
125119,sphere
125151,sphere
125158,elliptical
125199,elliptical
125209,sphere
125277,sphere
125304,sphere
125328,elliptical
125358,elliptical
125393,sphere
125460,espiral
125475,sphere
125507,espiral
125525,sphere
125537,sphere
125576,sphere
125616,irregular
125620,elliptical
125627,sphere
125667,elliptical
125672,elliptical
125678,espiral
125686,irregular
125687,sphere
125719,espiral
125739,sphere
125740,elliptical
125746,sphere
125755,espiral
125770,espiral
125787,sphere
125797,elliptical
125798,sphere
125860,elliptical
125912,elliptical
125948,espiral
125960,espiral
125975,sphere
125983,sphere
126077,espiral
126085,espiral
126131,sphere
126151,sphere
126202,espiral
126234,espiral
126260,espiral
126265,sphere
126279,espiral
126282,elliptical
126304,irregular
126321,elliptical
126338,elliptical
126364,espiral
126382,elliptical
126386,sphere
126391,sphere
126406,espiral
126427,elliptical
126459,elliptical
126475,sphere
126486,espiral
126502,elliptical
126540,elliptical
126547,elliptical
126549,sphere
126581,espiral
126625,elliptical
126643,sphere
126656,sphere
126696,sphere
126719,sphere
126759,elliptical
126760,sphere
126764,sphere
126783,sphere
126800,elliptical
126804,sphere
126827,irregular
126845,sphere
126847,sphere
126856,elliptical
126864,elliptical
126923,elliptical
126929,sphere
126961,sphere
127027,sphere
127031,sphere
127052,sphere
127057,elliptical
127059,sphere
127082,elliptical
127163,espiral
127210,espiral
127231,espiral
127317,irregular
127333,espiral
127354,elliptical
127360,elliptical
127382,elliptical
127386,espiral
127417,espiral
127418,sphere
127441,espiral
127444,elliptical
127458,elliptical
127465,sphere
127467,elliptical
127494,espiral
127498,espiral
127511,sphere
127517,elliptical
127546,sphere
127552,sphere
127574,espiral
127590,elliptical
127627,sphere
127630,sphere
127667,elliptical
127669,espiral
127687,sphere
127698,sphere
127730,sphere
127788,elliptical
127793,sphere
127795,espiral
127817,sphere
127857,sphere
127872,elliptical
127887,espiral
127901,espiral
127935,irregular
127950,sphere
127970,espiral
128004,irregular
128027,elliptical
128031,sphere
128068,sphere
128069,elliptical
128079,elliptical
128110,elliptical
128128,espiral
128132,espiral
128137,sphere
128147,sphere
128216,espiral
128220,sphere
128240,elliptical
128284,elliptical
128316,elliptical
128341,irregular
128357,sphere
128385,elliptical
128389,sphere
128396,irregular
128411,sphere
128417,elliptical
128439,elliptical
128485,sphere
128496,elliptical
128499,elliptical
128519,sphere
128563,elliptical
128619,sphere
128625,elliptical
128646,espiral
128650,espiral
128664,espiral
128703,sphere
128720,elliptical
128749,elliptical
128762,sphere
128814,elliptical
128815,sphere
128826,elliptical
128832,elliptical
128864,sphere
128919,sphere
128929,sphere
128947,sphere
128998,sphere
129013,elliptical
129036,sphere
129042,elliptical
129043,irregular
129093,espiral
129146,sphere
129149,espiral
129160,elliptical
129170,espiral
129173,elliptical
129175,irregular
129185,elliptical
129187,elliptical
129195,sphere
129199,espiral
129202,elliptical
129207,elliptical
129221,espiral
129225,elliptical
129248,sphere
129251,elliptical
129277,sphere
129359,sphere
129433,irregular
129456,sphere
129458,sphere
129488,sphere
129501,elliptical
129510,elliptical
129556,sphere
129560,elliptical
129570,sphere
129609,espiral
129622,espiral
129626,sphere
129637,elliptical
129721,elliptical
129852,elliptical
129883,elliptical
129932,elliptical
129935,irregular
129937,elliptical
129951,sphere
130002,elliptical
130026,espiral
130055,espiral
130071,elliptical
130077,irregular
130097,espiral
130136,sphere
130157,elliptical
130160,elliptical
130207,sphere
130226,sphere
130241,elliptical
130244,elliptical
130303,elliptical
130313,espiral
130343,espiral
130344,sphere
130356,sphere
130394,elliptical
130396,sphere
130397,elliptical
130403,sphere
130424,elliptical
130426,elliptical
130454,elliptical
130456,sphere
130460,espiral
130475,sphere
130499,elliptical
130520,espiral
130532,elliptical
130553,elliptical
130558,sphere
130565,espiral
130574,elliptical
130580,elliptical
130649,sphere
130710,elliptical
130719,elliptical
130737,elliptical
130741,elliptical
130745,sphere
130759,sphere
130760,espiral
130768,sphere
130781,sphere
130803,sphere
130826,sphere
130853,elliptical
130858,sphere
130861,irregular
130868,elliptical
130888,elliptical
130908,espiral
130946,elliptical
130969,sphere
130971,sphere
130973,sphere
130979,sphere
130996,elliptical
131009,espiral
131010,sphere
131021,sphere
131030,espiral
131049,espiral
131051,sphere
131054,elliptical
131064,elliptical
131103,irregular
131138,espiral
131172,irregular
131184,elliptical
131208,sphere
131211,elliptical
131245,sphere
131246,espiral
131260,sphere
131293,elliptical
131322,sphere
131323,sphere
131359,sphere
131373,elliptical
131374,elliptical
131395,espiral
131410,sphere
131452,elliptical
131465,espiral
131473,sphere
131500,espiral
131504,elliptical
131520,elliptical
131521,elliptical
131585,sphere
131596,elliptical
131603,elliptical
131635,elliptical
131657,elliptical
131670,sphere
131744,elliptical
131745,espiral
131807,sphere
131821,elliptical
131843,sphere
131848,espiral
131855,sphere
131874,elliptical
131905,sphere
131934,elliptical
131939,sphere
131999,sphere
132003,elliptical
132021,elliptical
132038,espiral
132127,espiral
132139,sphere
132147,elliptical
132153,sphere
132172,sphere
132175,sphere
132188,elliptical
132209,elliptical
132247,sphere
132267,elliptical
132280,sphere
132305,sphere
132321,elliptical
132342,sphere
132350,elliptical
132400,sphere
132416,sphere
132419,sphere
132423,sphere
132439,elliptical
132448,sphere
132456,elliptical
132473,elliptical
132551,sphere
132573,elliptical
132623,sphere
132626,elliptical
132631,elliptical
132639,elliptical
132640,sphere
132658,espiral
132732,elliptical
132754,sphere
132767,espiral
132781,elliptical
132788,sphere
132803,elliptical
132813,sphere
132825,sphere
132829,sphere
132856,espiral
132907,espiral
132919,sphere
132957,elliptical
132969,espiral
133009,irregular
133023,elliptical
133036,elliptical
133108,elliptical
133161,sphere
133166,elliptical
133178,elliptical
133231,elliptical
133256,sphere
133282,espiral
133287,sphere
133289,sphere
133307,espiral
133355,elliptical
133380,elliptical
133395,sphere
133435,espiral
133451,sphere
133499,elliptical
133531,sphere
133558,sphere
133596,sphere
133616,espiral
133626,elliptical
133637,sphere
133639,elliptical
133665,elliptical
133669,elliptical
133675,elliptical
133711,elliptical
133734,sphere
133766,sphere
133854,espiral
133862,elliptical
133985,elliptical
134055,elliptical
134068,elliptical
134087,sphere
134155,espiral
134170,elliptical
134234,elliptical
134266,espiral
134270,sphere
134277,sphere
134285,elliptical
134347,sphere
134363,sphere
134364,elliptical
134368,espiral
134398,sphere
134412,elliptical
134415,sphere
134424,sphere
134425,elliptical
134450,elliptical
134463,sphere
134468,sphere
134470,elliptical
134549,elliptical
134556,espiral
134568,elliptical
134569,espiral
134573,sphere
134600,sphere
134604,elliptical
134624,elliptical
134631,sphere
134638,sphere
134646,espiral
134661,irregular
134676,sphere
134681,sphere
134688,espiral
134736,sphere
134742,espiral
134817,espiral
134843,elliptical
134877,elliptical
134880,espiral
134903,espiral
134915,elliptical
134922,elliptical
134970,sphere
134981,espiral
134986,elliptical
135020,elliptical
135030,sphere
135033,elliptical
135043,elliptical
135059,elliptical
135066,sphere
135093,elliptical
135095,irregular
135102,espiral
135134,elliptical
135163,sphere
135172,sphere
135173,sphere
135184,sphere
135191,sphere
135208,espiral
135223,elliptical
135258,sphere
135295,espiral
135311,elliptical
135338,espiral
135352,elliptical
135359,elliptical
135363,elliptical
135416,sphere
135417,elliptical
135441,irregular
135453,sphere
135456,sphere
135494,sphere
135499,espiral
135541,elliptical
135588,irregular
135616,sphere
135640,irregular
135648,elliptical
135705,sphere
135717,espiral
135766,espiral
135779,sphere
135809,elliptical
135810,elliptical
135828,elliptical
135842,sphere
135873,espiral
135902,espiral
135924,elliptical
135972,sphere
135980,sphere
136005,elliptical
136022,elliptical
136072,espiral
136093,irregular
136166,sphere
136167,elliptical
136211,espiral
136255,elliptical
136261,elliptical
136289,espiral
136317,elliptical
136370,elliptical
136382,elliptical
136385,elliptical
136387,sphere
136401,elliptical
136414,irregular
136418,sphere
136420,espiral
136439,sphere
136454,elliptical
136466,elliptical
136494,sphere
136539,sphere
136544,sphere
136565,sphere
136569,espiral
136581,sphere
136594,elliptical
136661,sphere
136695,sphere
136731,elliptical
136748,sphere
136756,espiral
136821,elliptical
136823,espiral
136827,sphere
136843,elliptical
136851,sphere
136877,espiral
136885,sphere
136899,sphere
136908,irregular
136929,sphere
136993,sphere
137040,sphere
137052,elliptical
137134,sphere
137150,sphere
137172,espiral
137179,sphere
137192,sphere
137197,sphere
137237,sphere
137253,elliptical
137272,irregular
137342,sphere
137349,sphere
137350,espiral
137352,sphere
137376,espiral
137386,irregular
137405,elliptical
137435,sphere
137473,sphere
137487,irregular
137493,elliptical
137504,elliptical
137522,elliptical
137555,sphere
137556,irregular
137578,espiral
137582,sphere
137585,sphere
137587,elliptical
137631,elliptical
137640,elliptical
137644,sphere
137653,elliptical
137693,elliptical
137709,elliptical
137712,sphere
137749,elliptical
137778,elliptical
137783,espiral
137787,elliptical
137809,elliptical
137813,sphere
137845,elliptical
137898,elliptical
137901,sphere
137957,elliptical
137969,sphere
137973,elliptical
137980,elliptical
138098,elliptical
138121,elliptical
138137,espiral
138164,sphere
138170,elliptical
138189,elliptical
138217,elliptical
138236,espiral
138238,sphere
138251,espiral
138290,elliptical
138306,sphere
138339,sphere
138341,elliptical
138348,elliptical
138351,sphere
138352,elliptical
138366,elliptical
138392,sphere
138436,sphere
138452,espiral
138455,sphere
138481,sphere
138490,espiral
138528,sphere
138532,elliptical
138534,sphere
138539,elliptical
138551,sphere
138561,elliptical
138564,elliptical
138565,sphere
138598,sphere
138610,elliptical
138632,elliptical
138636,sphere
138670,sphere
138685,elliptical
138689,irregular
138725,sphere
138769,sphere
138815,elliptical
138816,elliptical
138818,elliptical
138830,sphere
138869,irregular
138893,elliptical
138895,sphere
138899,elliptical
138916,sphere
138962,sphere
139006,sphere
139015,elliptical
139038,elliptical
139099,elliptical
139109,sphere
139143,elliptical
139144,sphere
139152,elliptical
139153,sphere
139162,sphere
139169,elliptical
139191,elliptical
139202,sphere
139205,elliptical
139220,espiral
139266,espiral
139269,sphere
139303,sphere
139313,espiral
139315,espiral
139336,sphere
139352,espiral
139375,elliptical
139391,elliptical
139395,sphere
139432,espiral
139471,sphere
139480,sphere
139540,espiral
139547,elliptical
139554,sphere
139594,sphere
139596,espiral
139626,elliptical
139635,espiral
139650,sphere
139670,elliptical
139672,irregular
139679,espiral
139688,sphere
139711,espiral
139712,espiral
139725,elliptical
139758,espiral
139823,elliptical
139862,sphere
139900,espiral
139901,sphere
139919,espiral
139923,sphere
139932,espiral
139937,elliptical
139940,sphere
139955,sphere
140000,sphere
140010,sphere
140012,elliptical
140023,espiral
140070,espiral
140081,sphere
140146,elliptical
140154,espiral
140163,espiral
140167,elliptical
140176,sphere
140206,sphere
140218,elliptical
140239,espiral
140246,elliptical
140254,sphere
140278,sphere
140317,sphere
140329,sphere
140398,sphere
140402,sphere
140413,elliptical
140453,espiral
140466,sphere
140489,elliptical
140496,elliptical
140533,espiral
140552,sphere
140558,irregular
